町丁目,FamilyType,TotalHouseholds,TotalPopulation
中呉服町,非親族を含む世帯,11,23
中呉服町,単独世帯,811,811
下呉服町,夫婦のみの世帯,70,140
下呉服町,夫婦と子供から成る世帯,90,329
下呉服町,その他の核家族世帯,55,128
下呉服町,核家族以外の世帯,33,112
下呉服町,非親族を含む世帯,4,10
下呉服町,単独世帯,981,981
大博町,夫婦のみの世帯,70,140
大博町,夫婦と子供から成る世帯,86,311
大博町,その他の核家族世帯,54,133
大博町,核家族以外の世帯,34,111
大博町,非親族を含む世帯,16,38
大博町,単独世帯,711,711
御供所町,夫婦のみの世帯,52,104
御供所町,夫婦と子供から成る世帯,61,214
御供所町,その他の核家族世帯,29,63
御供所町,核家族以外の世帯,24,79
御供所町,非親族を含む世帯,12,29
御供所町,単独世帯,524,524
千代１丁目,夫婦のみの世帯,219,438
千代１丁目,夫婦と子供から成る世帯,152,542
千代１丁目,その他の核家族世帯,128,311
千代１丁目,核家族以外の世帯,76,230
千代１丁目,非親族を含む世帯,34,70
千代１丁目,単独世帯,1479,1479
千代２丁目,夫婦のみの世帯,59,118
千代２丁目,夫婦と子供から成る世帯,34,119
千代２丁目,その他の核家族世帯,49,117
千代２丁目,核家族以外の世帯,16,49
千代２丁目,非親族を含む世帯,11,25
千代２丁目,単独世帯,912,912
千代３丁目,夫婦のみの世帯,156,312
千代３丁目,夫婦と子供から成る世帯,126,467
千代３丁目,その他の核家族世帯,116,279
千代３丁目,核家族以外の世帯,42,112
千代３丁目,非親族を含む世帯,24,51
千代３丁目,単独世帯,990,990
千代４丁目,夫婦のみの世帯,57,114
千代４丁目,夫婦と子供から成る世帯,36,117
千代４丁目,その他の核家族世帯,49,116
千代４丁目,核家族以外の世帯,32,98
千代４丁目,非親族を含む世帯,18,36
千代４丁目,単独世帯,1486,1486
千代５丁目,夫婦のみの世帯,113,226
千代５丁目,夫婦と子供から成る世帯,106,390
千代５丁目,その他の核家族世帯,87,209
千代５丁目,核家族以外の世帯,34,101
千代５丁目,非親族を含む世帯,10,22
千代５丁目,単独世帯,703,703
千代６丁目,夫婦のみの世帯,26,52
千代６丁目,夫婦と子供から成る世帯,16,61
千代６丁目,その他の核家族世帯,25,59
千代６丁目,核家族以外の世帯,6,18
千代６丁目,非親族を含む世帯,4,10
千代６丁目,単独世帯,490,490
東公園,夫婦のみの世帯,13,26
東公園,夫婦と子供から成る世帯,11,42
東公園,その他の核家族世帯,5,10
東公園,核家族以外の世帯,6,20
東公園,非親族を含む世帯,2,6
東公園,単独世帯,196,196
吉塚本町,夫婦のみの世帯,102,204
吉塚本町,夫婦と子供から成る世帯,126,433
吉塚本町,その他の核家族世帯,31,73
吉塚本町,核家族以外の世帯,19,76
吉塚本町,非親族を含む世帯,21,45
吉塚本町,単独世帯,477,477
吉塚１丁目,夫婦のみの世帯,180,360
吉塚１丁目,夫婦と子供から成る世帯,183,660
吉塚１丁目,その他の核家族世帯,132,330
吉塚１丁目,核家族以外の世帯,67,219
吉塚１丁目,非親族を含む世帯,24,48
吉塚１丁目,単独世帯,1105,1105
吉塚２丁目,夫婦のみの世帯,142,284
吉塚２丁目,夫婦と子供から成る世帯,200,745
吉塚２丁目,その他の核家族世帯,79,185
吉塚２丁目,核家族以外の世帯,52,169
吉塚２丁目,非親族を含む世帯,15,35
吉塚２丁目,単独世帯,723,723
吉塚３丁目,夫婦のみの世帯,119,238
吉塚３丁目,夫婦と子供から成る世帯,149,530
吉塚３丁目,その他の核家族世帯,88,207
吉塚３丁目,核家族以外の世帯,38,128
吉塚３丁目,非親族を含む世帯,11,27
吉塚３丁目,単独世帯,598,598
吉塚４丁目,夫婦のみの世帯,207,414
吉塚４丁目,夫婦と子供から成る世帯,353,1258
吉塚４丁目,その他の核家族世帯,122,297
吉塚４丁目,核家族以外の世帯,58,211
吉塚４丁目,非親族を含む世帯,29,63
吉塚４丁目,単独世帯,649,649
吉塚５丁目,夫婦のみの世帯,122,244
吉塚５丁目,夫婦と子供から成る世帯,209,777
吉塚５丁目,その他の核家族世帯,72,181
吉塚５丁目,核家族以外の世帯,47,165
吉塚５丁目,非親族を含む世帯,10,25
吉塚５丁目,単独世帯,496,496
吉塚６丁目,夫婦のみの世帯,195,390
吉塚６丁目,夫婦と子供から成る世帯,256,927
吉塚６丁目,その他の核家族世帯,106,249
吉塚６丁目,核家族以外の世帯,42,129
吉塚６丁目,非親族を含む世帯,15,30
吉塚６丁目,単独世帯,1010,1010
吉塚７丁目,夫婦のみの世帯,154,308
吉塚７丁目,夫婦と子供から成る世帯,199,704
吉塚７丁目,その他の核家族世帯,73,173
吉塚７丁目,核家族以外の世帯,43,140
吉塚７丁目,非親族を含む世帯,11,22
吉塚７丁目,単独世帯,616,616
吉塚８丁目,夫婦のみの世帯,30,60
吉塚８丁目,夫婦と子供から成る世帯,47,170
