Town,FamilyType,TotalHouseholds,TotalPopulation,NonResSumHouseholds,NonResSumPopulation
吉塚３丁目,その他の核家族世帯,88,207,8,10
吉塚３丁目,核家族以外の世帯,38,128,8,10
吉塚３丁目,非親族を含む世帯,11,27,8,10
吉塚３丁目,単独世帯,598,598,8,10
堅粕２丁目,夫婦のみの世帯,73,146,2,4
堅粕２丁目,夫婦と子供から成る世帯,73,269,2,4
堅粕２丁目,その他の核家族世帯,46,106,2,4
堅粕２丁目,核家族以外の世帯,17,52,2,4
堅粕２丁目,非親族を含む世帯,6,12,2,4
堅粕２丁目,単独世帯,408,408,2,4
東光２丁目,夫婦のみの世帯,76,152,42,44
東光２丁目,夫婦と子供から成る世帯,73,270,42,44
東光２丁目,その他の核家族世帯,42,103,42,44
東光２丁目,核家族以外の世帯,22,65,42,44
東光２丁目,非親族を含む世帯,12,26,42,44
東光２丁目,単独世帯,386,386,42,44
東比恵２丁目,夫婦のみの世帯,54,108,9,11
東比恵２丁目,夫婦と子供から成る世帯,40,140,9,11
東比恵２丁目,その他の核家族世帯,29,67,9,11
東比恵２丁目,核家族以外の世帯,10,32,9,11
東比恵２丁目,非親族を含む世帯,4,8,9,11
東比恵２丁目,単独世帯,592,592,9,11
東比恵４丁目,夫婦のみの世帯,59,118,8,10
東比恵４丁目,夫婦と子供から成る世帯,75,275,8,10
東比恵４丁目,その他の核家族世帯,36,84,8,10
東比恵４丁目,核家族以外の世帯,16,48,8,10
東比恵４丁目,非親族を含む世帯,6,12,8,10
東比恵４丁目,単独世帯,307,307,8,10
西月隈１丁目,夫婦のみの世帯,20,40,27,29
西月隈１丁目,夫婦と子供から成る世帯,18,62,27,29
西月隈１丁目,その他の核家族世帯,11,30,27,29
西月隈１丁目,核家族以外の世帯,7,28,27,29
西月隈１丁目,非親族を含む世帯,2,6,27,29
西月隈１丁目,単独世帯,120,120,27,29
浦田１丁目,夫婦のみの世帯,118,236,5,7
浦田１丁目,夫婦と子供から成る世帯,231,840,5,7
浦田１丁目,その他の核家族世帯,71,188,5,7
浦田１丁目,核家族以外の世帯,56,241,5,7
浦田１丁目,非親族を含む世帯,8,20,5,7
浦田１丁目,単独世帯,170,170,5,7
麦野６丁目,夫婦のみの世帯,82,164,2,4
麦野６丁目,夫婦と子供から成る世帯,98,343,2,4
麦野６丁目,その他の核家族世帯,51,116,2,4
麦野６丁目,核家族以外の世帯,37,130,2,4
麦野６丁目,非親族を含む世帯,10,20,2,4
麦野６丁目,単独世帯,499,499,2,4
春町１丁目,夫婦のみの世帯,19,38,15,17
春町１丁目,夫婦と子供から成る世帯,22,75,15,17
春町１丁目,その他の核家族世帯,18,42,15,17
春町１丁目,核家族以外の世帯,6,21,15,17
春町１丁目,非親族を含む世帯,2,7,15,17
春町１丁目,単独世帯,194,194,15,17
竹丘町２丁目,夫婦のみの世帯,25,50,4,6
竹丘町２丁目,夫婦と子供から成る世帯,42,158,4,6
竹丘町２丁目,その他の核家族世帯,22,50,4,6
竹丘町２丁目,核家族以外の世帯,8,27,4,6
竹丘町２丁目,非親族を含む世帯,2,5,4,6
竹丘町２丁目,単独世帯,216,216,4,6
千代１丁目,夫婦のみの世帯,219,438,29,32
千代１丁目,夫婦と子供から成る世帯,152,542,29,32
千代１丁目,その他の核家族世帯,128,311,29,32
千代１丁目,核家族以外の世帯,76,230,29,32
千代１丁目,非親族を含む世帯,34,70,29,32
千代１丁目,単独世帯,1479,1479,29,32
堅粕４丁目,夫婦のみの世帯,70,140,31,34
堅粕４丁目,夫婦と子供から成る世帯,83,273,31,34
堅粕４丁目,その他の核家族世帯,45,103,31,34
堅粕４丁目,核家族以外の世帯,38,139,31,34
堅粕４丁目,非親族を含む世帯,12,25,31,34
堅粕４丁目,単独世帯,847,847,31,34
那珂２丁目,夫婦のみの世帯,98,196,5,8
那珂２丁目,夫婦と子供から成る世帯,158,580,5,8
那珂２丁目,その他の核家族世帯,41,96,5,8
那珂２丁目,核家族以外の世帯,26,97,5,8
那珂２丁目,非親族を含む世帯,3,6,5,8
那珂２丁目,単独世帯,245,245,5,8
光丘町１丁目,夫婦のみの世帯,43,86,3,6
光丘町１丁目,夫婦と子供から成る世帯,72,265,3,6
光丘町１丁目,その他の核家族世帯,40,96,3,6
光丘町１丁目,核家族以外の世帯,10,35,3,6
光丘町１丁目,非親族を含む世帯,0,0,3,6
光丘町１丁目,単独世帯,190,190,3,6
青木１丁目,夫婦のみの世帯,127,254,2,5
青木１丁目,夫婦と子供から成る世帯,234,861,2,5
青木１丁目,その他の核家族世帯,53,133,2,5
青木１丁目,核家族以外の世帯,33,130,2,5
青木１丁目,非親族を含む世帯,3,12,2,5
青木１丁目,単独世帯,230,230,2,5
博多駅前１丁目,夫婦のみの世帯,31,62,34,38
博多駅前１丁目,夫婦と子供から成る世帯,31,114,34,38
博多駅前１丁目,その他の核家族世帯,23,52,34,38
博多駅前１丁目,核家族以外の世帯,19,57,34,38
博多駅前１丁目,非親族を含む世帯,9,18,34,38
博多駅前１丁目,単独世帯,647,647,34,38
山王１丁目,夫婦のみの世帯,98,196,35,39
山王１丁目,夫婦と子供から成る世帯,156,574,35,39
山王１丁目,その他の核家族世帯,57,137,35,39
山王１丁目,核家族以外の世帯,23,68,35,39
山王１丁目,非親族を含む世帯,16,39,35,39
山王１丁目,単独世帯,425,425,35,39
吉塚１丁目,夫婦のみの世帯,180,360,6,10
吉塚１丁目,夫婦と子供から成る世帯,183,660,6,10
吉塚１丁目,その他の核家族世帯,132,330,6,10
吉塚１丁目,核家族以外の世帯,67,219,6,10
吉塚１丁目,非親族を含む世帯,24,48,6,10
吉塚１丁目,単独世帯,1105,1105,6,10
那珂３丁目,夫婦のみの世帯,113,226,1,5
那珂３丁目,夫婦と子供から成る世帯,249,945,1,5
那珂３丁目,その他の核家族世帯,118,288,1,5
那珂３丁目,核家族以外の世帯,36,140,1,5
那珂３丁目,非親族を含む世帯,11,25,1,5
那珂３丁目,単独世帯,254,254,1,5
麦野１丁目,夫婦のみの世帯,74,148,1,5
麦野１丁目,夫婦と子供から成る世帯,84,291,1,5
麦野１丁目,その他の核家族世帯,32,69,1,5
麦野１丁目,核家族以外の世帯,38,170,1,5
麦野１丁目,非親族を含む世帯,3,7,1,5
麦野１丁目,単独世帯,152,152,1,5
空港前４丁目,夫婦のみの世帯,7,14,31,35
空港前４丁目,夫婦と子供から成る世帯,19,63,31,35
空港前４丁目,その他の核家族世帯,2,6,31,35
空港前４丁目,核家族以外の世帯,16,75,31,35
空港前４丁目,非親族を含む世帯,1,5,31,35
空港前４丁目,単独世帯,49,49,31,35
金の隈３丁目,夫婦のみの世帯,91,182,47,51
金の隈３丁目,夫婦と子供から成る世帯,136,495,47,51
金の隈３丁目,その他の核家族世帯,29,66,47,51
金の隈３丁目,核家族以外の世帯,28,118,47,51
金の隈３丁目,非親族を含む世帯,4,10,47,51
金の隈３丁目,単独世帯,328,328,47,51
博多駅南２丁目,夫婦のみの世帯,143,286,11,16
博多駅南２丁目,夫婦と子供から成る世帯,181,647,11,16
博多駅南２丁目,その他の核家族世帯,61,143,11,16
博多駅南２丁目,核家族以外の世帯,42,130,11,16
博多駅南２丁目,非親族を含む世帯,22,45,11,16
博多駅南２丁目,単独世帯,1548,1548,11,16
博多駅南３丁目,夫婦のみの世帯,196,392,27,32
博多駅南３丁目,夫婦と子供から成る世帯,202,729,27,32
博多駅南３丁目,その他の核家族世帯,108,249,27,32
博多駅南３丁目,核家族以外の世帯,63,168,27,32
博多駅南３丁目,非親族を含む世帯,39,85,27,32
博多駅南３丁目,単独世帯,2440,2440,27,32
諸岡１丁目,夫婦のみの世帯,64,128,2,7
諸岡１丁目,夫婦と子供から成る世帯,128,464,2,7
諸岡１丁目,その他の核家族世帯,36,86,2,7
諸岡１丁目,核家族以外の世帯,35,160,2,7
諸岡１丁目,非親族を含む世帯,0,0,2,7
諸岡１丁目,単独世帯,77,77,2,7
立花寺,夫婦のみの世帯,36,72,6,11
立花寺,夫婦と子供から成る世帯,47,168,6,11
立花寺,その他の核家族世帯,9,27,6,11
立花寺,核家族以外の世帯,16,71,6,11
立花寺,非親族を含む世帯,2,4,6,11
立花寺,単独世帯,96,96,6,11
美野島２丁目,夫婦のみの世帯,135,270,9,15
美野島２丁目,夫婦と子供から成る世帯,163,575,9,15
美野島２丁目,その他の核家族世帯,99,224,9,15
美野島２丁目,核家族以外の世帯,60,205,9,15
美野島２丁目,非親族を含む世帯,47,100,9,15
美野島２丁目,単独世帯,1965,1965,9,15
御供所町,夫婦のみの世帯,52,104,14,20
御供所町,夫婦と子供から成る世帯,61,214,14,20
御供所町,その他の核家族世帯,29,63,14,20
御供所町,核家族以外の世帯,24,79,14,20
御供所町,非親族を含む世帯,12,29,14,20
御供所町,単独世帯,524,524,14,20
西月隈３丁目,夫婦のみの世帯,76,152,2,9
西月隈３丁目,夫婦と子供から成る世帯,151,533,2,9
西月隈３丁目,その他の核家族世帯,36,83,2,9
西月隈３丁目,核家族以外の世帯,12,50,2,9
西月隈３丁目,非親族を含む世帯,6,17,2,9
西月隈３丁目,単独世帯,192,192,2,9
吉塚６丁目,夫婦のみの世帯,195,390,39,48
吉塚６丁目,夫婦と子供から成る世帯,256,927,39,48
吉塚６丁目,その他の核家族世帯,106,249,39,48
吉塚６丁目,核家族以外の世帯,42,129,39,48
吉塚６丁目,非親族を含む世帯,15,30,39,48
吉塚６丁目,単独世帯,1010,1010,39,48
