Town,FamilyType,TotalHouseholds,TotalPopulation,NonResSumHouseholds,NonResSumPopulation
上呉服町,夫婦と子供から成る世帯,86,309,1,1
上呉服町,その他の核家族世帯,37,82,1,1
上呉服町,核家族以外の世帯,34,142,1,1
上呉服町,非親族を含む世帯,6,16,1,1
上呉服町,単独世帯,514,514,1,1
下呉服町,夫婦のみの世帯,70,140,0,0
下呉服町,夫婦と子供から成る世帯,90,329,0,0
下呉服町,その他の核家族世帯,55,128,0,0
下呉服町,核家族以外の世帯,33,112,0,0
下呉服町,非親族を含む世帯,4,10,0,0
下呉服町,単独世帯,981,981,0,0
千代４丁目,夫婦のみの世帯,57,114,126,126
千代４丁目,夫婦と子供から成る世帯,36,117,126,126
千代４丁目,その他の核家族世帯,49,116,126,126
千代４丁目,核家族以外の世帯,32,98,126,126
千代４丁目,非親族を含む世帯,18,36,126,126
千代４丁目,単独世帯,1486,1486,126,126
千代５丁目,夫婦のみの世帯,113,226,58,58
千代５丁目,夫婦と子供から成る世帯,106,390,58,58
千代５丁目,その他の核家族世帯,87,209,58,58
千代５丁目,核家族以外の世帯,34,101,58,58
千代５丁目,非親族を含む世帯,10,22,58,58
千代５丁目,単独世帯,703,703,58,58
千代６丁目,夫婦のみの世帯,26,52,0,0
千代６丁目,夫婦と子供から成る世帯,16,61,0,0
千代６丁目,その他の核家族世帯,25,59,0,0
千代６丁目,核家族以外の世帯,6,18,0,0
千代６丁目,非親族を含む世帯,4,10,0,0
千代６丁目,単独世帯,490,490,0,0
東公園,夫婦のみの世帯,13,26,0,0
東公園,夫婦と子供から成る世帯,11,42,0,0
東公園,その他の核家族世帯,5,10,0,0
東公園,核家族以外の世帯,6,20,0,0
東公園,非親族を含む世帯,2,6,0,0
東公園,単独世帯,196,196,0,0
吉塚２丁目,夫婦のみの世帯,142,284,0,0
吉塚２丁目,夫婦と子供から成る世帯,200,745,0,0
吉塚２丁目,その他の核家族世帯,79,185,0,0
吉塚２丁目,核家族以外の世帯,52,169,0,0
吉塚２丁目,非親族を含む世帯,15,35,0,0
吉塚２丁目,単独世帯,723,723,0,0
吉塚４丁目,夫婦のみの世帯,207,414,9,9
吉塚４丁目,夫婦と子供から成る世帯,353,1258,9,9
吉塚４丁目,その他の核家族世帯,122,297,9,9
吉塚４丁目,核家族以外の世帯,58,211,9,9
吉塚４丁目,非親族を含む世帯,29,63,9,9
吉塚４丁目,単独世帯,649,649,9,9
吉塚５丁目,夫婦のみの世帯,122,244,55,55
吉塚５丁目,夫婦と子供から成る世帯,209,777,55,55
吉塚５丁目,その他の核家族世帯,72,181,55,55
吉塚５丁目,核家族以外の世帯,47,165,55,55
吉塚５丁目,非親族を含む世帯,10,25,55,55
吉塚５丁目,単独世帯,496,496,55,55
吉塚７丁目,夫婦のみの世帯,154,308,8,8
吉塚７丁目,夫婦と子供から成る世帯,199,704,8,8
吉塚７丁目,その他の核家族世帯,73,173,8,8
吉塚７丁目,核家族以外の世帯,43,140,8,8
吉塚７丁目,非親族を含む世帯,11,22,8,8
吉塚７丁目,単独世帯,616,616,8,8
吉塚８丁目,夫婦のみの世帯,30,60,0,0
吉塚８丁目,夫婦と子供から成る世帯,47,170,0,0
吉塚８丁目,その他の核家族世帯,22,56,0,0
吉塚８丁目,核家族以外の世帯,11,34,0,0
吉塚８丁目,非親族を含む世帯,11,22,0,0
吉塚８丁目,単独世帯,159,159,0,0
豊１丁目,夫婦のみの世帯,73,146,2,2
豊１丁目,夫婦と子供から成る世帯,71,247,2,2
豊１丁目,その他の核家族世帯,24,59,2,2
豊１丁目,核家族以外の世帯,21,59,2,2
豊１丁目,非親族を含む世帯,16,32,2,2
豊１丁目,単独世帯,522,522,2,2
榎田１丁目,夫婦のみの世帯,51,102,0,0
榎田１丁目,夫婦と子供から成る世帯,76,280,0,0
榎田１丁目,その他の核家族世帯,7,15,0,0
榎田１丁目,核家族以外の世帯,19,44,0,0
榎田１丁目,非親族を含む世帯,10,20,0,0
榎田１丁目,単独世帯,407,407,0,0
榎田２丁目,夫婦のみの世帯,4,8,0,0
榎田２丁目,夫婦と子供から成る世帯,3,11,0,0
榎田２丁目,その他の核家族世帯,0,0,0,0
榎田２丁目,核家族以外の世帯,0,0,0,0
榎田２丁目,非親族を含む世帯,0,0,0,0
榎田２丁目,単独世帯,23,23,0,0
堅粕１丁目,夫婦のみの世帯,81,162,0,0
堅粕１丁目,夫婦と子供から成る世帯,79,285,0,0
堅粕１丁目,その他の核家族世帯,63,153,0,0
堅粕１丁目,核家族以外の世帯,17,55,0,0
堅粕１丁目,非親族を含む世帯,1,2,0,0
堅粕１丁目,単独世帯,403,403,0,0
堅粕３丁目,夫婦のみの世帯,77,154,0,0
堅粕３丁目,夫婦と子供から成る世帯,75,260,0,0
堅粕３丁目,その他の核家族世帯,54,126,0,0
堅粕３丁目,核家族以外の世帯,42,117,0,0
堅粕３丁目,非親族を含む世帯,14,30,0,0
堅粕３丁目,単独世帯,655,655,0,0
堅粕５丁目,夫婦のみの世帯,24,48,5,5
堅粕５丁目,夫婦と子供から成る世帯,15,52,5,5
堅粕５丁目,その他の核家族世帯,7,14,5,5
堅粕５丁目,核家族以外の世帯,8,23,5,5
堅粕５丁目,非親族を含む世帯,9,18,5,5
堅粕５丁目,単独世帯,377,377,5,5
東光１丁目,夫婦のみの世帯,11,22,1,1
東光１丁目,夫婦と子供から成る世帯,0,0,1,1
東光１丁目,その他の核家族世帯,2,4,1,1
東光１丁目,核家族以外の世帯,1,2,1,1
東光１丁目,非親族を含む世帯,4,8,1,1
東光１丁目,単独世帯,152,152,1,1
東比恵１丁目,夫婦のみの世帯,11,22,1,1
東比恵１丁目,夫婦と子供から成る世帯,5,16,1,1
東比恵１丁目,その他の核家族世帯,7,16,1,1
東比恵１丁目,核家族以外の世帯,2,8,1,1
東比恵１丁目,非親族を含む世帯,1,2,1,1
東比恵１丁目,単独世帯,124,124,1,1
東比恵３丁目,夫婦のみの世帯,142,284,98,98
東比恵３丁目,夫婦と子供から成る世帯,155,534,98,98
東比恵３丁目,その他の核家族世帯,49,114,98,98
東比恵３丁目,核家族以外の世帯,19,70,98,98
東比恵３丁目,非親族を含む世帯,17,37,98,98
東比恵３丁目,単独世帯,820,820,98,98
上牟田１丁目,夫婦のみの世帯,56,112,0,0
上牟田１丁目,夫婦と子供から成る世帯,96,336,0,0
上牟田１丁目,その他の核家族世帯,25,65,0,0
上牟田１丁目,核家族以外の世帯,17,72,0,0
上牟田１丁目,非親族を含む世帯,9,18,0,0
上牟田１丁目,単独世帯,364,364,0,0
上牟田２丁目,夫婦のみの世帯,10,20,1,1
上牟田２丁目,夫婦と子供から成る世帯,13,46,1,1
上牟田２丁目,その他の核家族世帯,3,6,1,1
上牟田２丁目,核家族以外の世帯,8,29,1,1
上牟田２丁目,非親族を含む世帯,1,2,1,1
上牟田２丁目,単独世帯,34,34,1,1
上牟田３丁目,夫婦のみの世帯,46,92,0,0
上牟田３丁目,夫婦と子供から成る世帯,54,201,0,0
上牟田３丁目,その他の核家族世帯,43,103,0,0
上牟田３丁目,核家族以外の世帯,24,91,0,0
上牟田３丁目,非親族を含む世帯,3,6,0,0
上牟田３丁目,単独世帯,162,162,0,0
大井１丁目,夫婦のみの世帯,2,4,0,0
大井１丁目,夫婦と子供から成る世帯,1,3,0,0
大井１丁目,その他の核家族世帯,2,4,0,0
大井１丁目,核家族以外の世帯,1,6,0,0
大井１丁目,非親族を含む世帯,1,2,0,0
大井１丁目,単独世帯,4,4,0,0
大井２丁目,夫婦のみの世帯,21,42,11,11
大井２丁目,夫婦と子供から成る世帯,31,114,11,11
大井２丁目,その他の核家族世帯,15,39,11,11
大井２丁目,核家族以外の世帯,4,16,11,11
