家族類型,所有,建て方,延床面積,世帯数
2,4,1,3,0
2,4,1,4,0
2,4,1,5,0
2,4,2,0,0
2,4,2,1,1
2,4,2,2,0
2,4,2,3,3
2,4,2,4,0
2,4,2,5,0
2,4,3,0,0
2,4,3,1,2
2,4,3,2,0
2,4,3,3,0
2,4,3,4,0
2,4,3,5,0
3,0,0,0,27
3,0,0,1,2
3,0,0,2,10
3,0,0,3,173
3,0,0,4,411
3,0,0,5,2
3,0,1,0,2
3,0,1,1,5
3,0,1,2,4
3,0,1,3,2
3,0,1,4,7
3,0,1,5,0
3,0,2,0,0
3,0,2,1,32
3,0,2,2,576
3,0,2,3,1206
3,0,2,4,9
3,0,2,5,3
3,0,3,0,0
3,0,3,1,3
3,0,3,2,0
3,0,3,3,1
3,0,3,4,0
3,0,3,5,3
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,0
3,1,0,4,0
3,1,0,5,0
3,1,1,0,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,0
3,1,1,4,0
3,1,1,5,0
3,1,2,0,30
3,1,2,1,530
3,1,2,2,939
3,1,2,3,12
3,1,2,4,3
3,1,2,5,0
3,1,3,0,0
3,1,3,1,0
3,1,3,2,0
3,1,3,3,0
3,1,3,4,0
3,1,3,5,0
3,2,0,0,5
3,2,0,1,6
3,2,0,2,0
3,2,0,3,15
3,2,0,4,0
3,2,0,5,3
3,2,1,0,0
3,2,1,1,3
3,2,1,2,2
3,2,1,3,6
3,2,1,4,0
3,2,1,5,0
3,2,2,0,2053
3,2,2,1,260
3,2,2,2,17
3,2,2,3,4
3,2,2,4,5
3,2,2,5,7
3,2,3,0,11
3,2,3,1,5
3,2,3,2,0
3,2,3,3,0
3,2,3,4,0
3,2,3,5,0
3,3,0,0,0
3,3,0,1,3
3,3,0,2,1
3,3,0,3,9
3,3,0,4,4
3,3,0,5,2
3,3,1,0,1
3,3,1,1,0
3,3,1,2,4
3,3,1,3,5
3,3,1,4,1
3,3,1,5,0
3,3,2,0,7
3,3,2,1,6
3,3,2,2,7
3,3,2,3,23
3,3,2,4,0
3,3,2,5,1
3,3,3,0,1
3,3,3,1,5
3,3,3,2,2
3,3,3,3,2
3,3,3,4,0
3,3,3,5,2
3,4,0,0,2
3,4,0,1,4
3,4,0,2,2
3,4,0,3,7
3,4,0,4,0
3,4,0,5,0
3,4,1,0,4
3,4,1,1,2
3,4,1,2,1
3,4,1,3,0
3,4,1,4,0
3,4,1,5,0
3,4,2,0,43
3,4,2,1,17
3,4,2,2,10
3,4,2,3,3
3,4,2,4,0
3,4,2,5,0
3,4,3,0,1
3,4,3,1,0
3,4,3,2,0
3,4,3,3,0
3,4,3,4,0
3,4,3,5,0
4,0,0,0,1
4,0,0,1,0
4,0,0,2,2
4,0,0,3,12
4,0,0,4,8
4,0,0,5,1
4,0,1,0,1
4,0,1,1,0
4,0,1,2,0
4,0,1,3,2
4,0,1,4,2
4,0,1,5,0
4,0,2,0,3
4,0,2,1,10
4,0,2,2,6
4,0,2,3,21
4,0,2,4,6
4,0,2,5,2
4,0,3,0,1
4,0,3,1,0
4,0,3,2,2
4,0,3,3,0
4,0,3,4,1
4,0,3,5,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,1,0,0
4,1,1,1,1
4,1,1,2,0
4,1,1,3,0
4,1,1,4,0
4,1,1,5,0
4,1,2,0,3
4,1,2,1,1
4,1,2,2,0
4,1,2,3,1
4,1,2,4,0
4,1,2,5,0
4,1,3,0,0
4,1,3,1,0
4,1,3,2,0
4,1,3,3,0
4,1,3,4,0
4,1,3,5,0
4,2,0,0,1
4,2,0,1,1
4,2,0,2,0
4,2,0,3,0
4,2,0,4,0
4,2,0,5,0
4,2,1,0,1
4,2,1,1,0
4,2,1,2,3
4,2,1,3,0
4,2,1,4,0
4,2,1,5,0
4,2,2,0,0
4,2,2,1,0
4,2,2,2,1
