家族類型,所有,建て方,面積,世帯数
11,3,2,1,0
11,3,2,2,0
11,3,2,3,0
11,3,2,4,0
11,3,2,5,0
11,3,3,0,0
11,3,3,1,0
11,3,3,2,0
11,3,3,3,0
11,3,3,4,0
11,3,3,5,0
11,4,0,0,0
11,4,0,1,0
11,4,0,2,0
11,4,0,3,0
11,4,0,4,0
11,4,0,5,0
11,4,1,0,0
11,4,1,1,0
11,4,1,2,0
11,4,1,3,0
11,4,1,4,0
11,4,1,5,0
11,4,2,0,0
11,4,2,1,0
11,4,2,2,0
11,4,2,3,0
11,4,2,4,0
11,4,2,5,0
11,4,3,0,0
11,4,3,1,1
11,4,3,2,0
11,4,3,3,0
11,4,3,4,0
11,4,3,5,0
12,0,0,0,0
12,0,0,1,6
12,0,0,2,11
12,0,0,3,6
12,0,0,4,3
12,0,0,5,1
12,0,1,0,0
12,0,1,1,2
12,0,1,2,0
12,0,1,3,0
12,0,1,4,0
12,0,1,5,0
12,0,2,0,4
12,0,2,1,3
12,0,2,2,19
12,0,2,3,7
12,0,2,4,19
12,0,2,5,1
12,0,3,0,1
12,0,3,1,1
12,0,3,2,0
12,0,3,3,1
12,0,3,4,1
12,0,3,5,1
12,1,0,0,0
12,1,0,1,0
12,1,0,2,0
12,1,0,3,0
12,1,0,4,0
12,1,0,5,0
12,1,1,0,0
12,1,1,1,0
12,1,1,2,0
12,1,1,3,0
12,1,1,4,0
12,1,1,5,0
12,1,2,0,2
12,1,2,1,1
12,1,2,2,0
12,1,2,3,2
12,1,2,4,0
12,1,2,5,0
12,1,3,0,0
12,1,3,1,0
12,1,3,2,0
12,1,3,3,0
12,1,3,4,0
12,1,3,5,0
12,2,0,0,0
12,2,0,1,0
12,2,0,2,1
12,2,0,3,0
12,2,0,4,0
12,2,0,5,0
12,2,1,0,0
12,2,1,1,0
12,2,1,2,0
12,2,1,3,0
12,2,1,4,1
12,2,1,5,0
12,2,2,0,0
12,2,2,1,1
12,2,2,2,0
12,2,2,3,0
12,2,2,4,0
12,2,2,5,0
12,2,3,0,0
12,2,3,1,1
12,2,3,2,0
12,2,3,3,0
12,2,3,4,0
12,2,3,5,0
12,3,0,0,0
12,3,0,1,0
12,3,0,2,0
12,3,0,3,0
12,3,0,4,0
12,3,0,5,0
12,3,1,0,0
12,3,1,1,0
12,3,1,2,0
12,3,1,3,0
12,3,1,4,0
12,3,1,5,0
12,3,2,0,0
12,3,2,1,0
12,3,2,2,0
12,3,2,3,1
12,3,2,4,0
12,3,2,5,0
12,3,3,0,0
12,3,3,1,0
12,3,3,2,0
12,3,3,3,0
12,3,3,4,0
12,3,3,5,0
12,4,0,0,0
12,4,0,1,0
12,4,0,2,0
12,4,0,3,0
12,4,0,4,0
12,4,0,5,0
12,4,1,0,0
12,4,1,1,1
12,4,1,2,0
12,4,1,3,0
12,4,1,4,0
12,4,1,5,0
12,4,2,0,0
12,4,2,1,0
12,4,2,2,0
12,4,2,3,0
12,4,2,4,0
12,4,2,5,0
12,4,3,0,0
12,4,3,1,0
12,4,3,2,0
12,4,3,3,0
12,4,3,4,0
12,4,3,5,0
13,0,0,0,1
13,0,0,1,0
13,0,0,2,2
13,0,0,3,0
13,0,0,4,40
13,0,0,5,0
13,0,1,0,1
13,0,1,1,6
13,0,1,2,7
13,0,1,3,0
13,0,1,4,1
13,0,1,5,0
13,0,2,0,15
13,0,2,1,7
13,0,2,2,24
13,0,2,3,130
13,0,2,4,10
13,0,2,5,2
13,0,3,0,1
13,0,3,1,1
13,0,3,2,0
13,0,3,3,0
13,0,3,4,1
13,0,3,5,0
13,1,0,0,0
13,1,0,1,0
13,1,0,2,0
13,1,0,3,0
13,1,0,4,0
13,1,0,5,0
13,1,1,0,0
13,1,1,1,0
13,1,1,2,1
13,1,1,3,0
13,1,1,4,0
13,1,1,5,0
13,1,2,0,21
13,1,2,1,9
13,1,2,2,104
13,1,2,3,8
13,1,2,4,1
13,1,2,5,0
13,1,3,0,0
13,1,3,1,0
13,1,3,2,0
13,1,3,3,0
13,1,3,4,0
13,1,3,5,0
13,2,0,0,7
13,2,0,1,0
13,2,0,2,3
13,2,0,3,2
13,2,0,4,5
13,2,0,5,4
13,2,1,0,11
13,2,1,1,2
13,2,1,2,6
13,2,1,3,0
13,2,1,4,4
13,2,1,5,0
13,2,2,0,583
13,2,2,1,12
13,2,2,2,10
13,2,2,3,1
13,2,2,4,0
13,2,2,5,0
13,2,3,0,1
13,2,3,1,14
13,2,3,2,3
13,2,3,3,0
13,2,3,4,0
13,2,3,5,0
13,3,0,0,0
13,3,0,1,0
13,3,0,2,1
13,3,0,3,0
13,3,0,4,0
13,3,0,5,1
13,3,1,0,0
13,3,1,1,0
13,3,1,2,0
13,3,1,3,0
13,3,1,4,1
13,3,1,5,0
13,3,2,0,0
13,3,2,1,0
13,3,2,2,0
13,3,2,3,0
13,3,2,4,1
13,3,2,5,0
13,3,3,0,0
13,3,3,1,1
13,3,3,2,1
13,3,3,3,0
13,3,3,4,0
13,3,3,5,0
13,4,0,0,0
13,4,0,1,0
13,4,0,2,0
13,4,0,3,1
13,4,0,4,0
13,4,0,5,0
13,4,1,0,2
13,4,1,1,2
13,4,1,2,0
13,4,1,3,0
13,4,1,4,0
13,4,1,5,0
13,4,2,0,3
13,4,2,1,3
13,4,2,2,2
13,4,2,3,0
13,4,2,4,0
13,4,2,5,0
13,4,3,0,2
13,4,3,1,0
13,4,3,2,0
13,4,3,3,0
13,4,3,4,0
13,4,3,5,0
14,0,0,0,3
14,0,0,1,1
14,0,0,2,0
14,0,0,3,8
14,0,0,4,30
14,0,0,5,14
14,0,1,0,1
14,0,1,1,4
14,0,1,2,4
14,0,1,3,0
14,0,1,4,4
14,0,1,5,0
14,0,2,0,38
14,0,2,1,26
14,0,2,2,44
14,0,2,3,142
14,0,2,4,38
14,0,2,5,19
14,0,3,0,2
14,0,3,1,0
14,0,3,2,3
14,0,3,3,2
14,0,3,4,6
14,0,3,5,1
14,1,0,0,0
14,1,0,1,0
14,1,0,2,0
14,1,0,3,0
14,1,0,4,0
14,1,0,5,0
14,1,1,0,0
14,1,1,1,0
14,1,1,2,0
14,1,1,3,0
14,1,1,4,0
14,1,1,5,0
14,1,2,0,38
14,1,2,1,17
14,1,2,2,112
14,1,2,3,0
14,1,2,4,4
14,1,2,5,0
14,1,3,0,0
14,1,3,1,0
14,1,3,2,0
14,1,3,3,0
14,1,3,4,0
14,1,3,5,0
14,2,0,0,4
14,2,0,1,4
14,2,0,2,24
14,2,0,3,0
14,2,0,4,10
14,2,0,5,2
14,2,1,0,7
14,2,1,1,8
14,2,1,2,19
14,2,1,3,2
14,2,1,4,0
14,2,1,5,0
14,2,2,0,121
14,2,2,1,0
14,2,2,2,14
14,2,2,3,9
14,2,2,4,15
14,2,2,5,0
14,2,3,0,6
14,2,3,1,0
14,2,3,2,3
14,2,3,3,0
14,2,3,4,1
14,2,3,5,1
14,3,0,0,1
14,3,0,1,0
14,3,0,2,1
14,3,0,3,1
14,3,0,4,0
14,3,0,5,0
14,3,1,0,0
14,3,1,1,0
14,3,1,2,0
14,3,1,3,0
14,3,1,4,0
14,3,1,5,0
14,3,2,0,0
14,3,2,1,0
14,3,2,2,0
14,3,2,3,1
14,3,2,4,1
14,3,2,5,0
14,3,3,0,1
14,3,3,1,0
14,3,3,2,1
14,3,3,3,0
14,3,3,4,0
14,3,3,5,1
14,4,0,0,0
14,4,0,1,2
14,4,0,2,1
14,4,0,3,0
14,4,0,4,0
14,4,0,5,0
