大字・町名,字・丁目名,核家族世帯,夫婦のみの世帯,夫婦と子供から成る世帯,その他の核家族世帯,核家族以外の世帯,非親族を含む世帯,単独世帯,核家族世帯,夫婦のみの世帯,夫婦と子供から成る世帯,その他の核家族世帯,核家族以外の世帯,非親族を含む世帯,単独世帯
諸岡,６丁目,305,109,154,42,32,12,289,846,218,530,98,128,29,289
麦野,１丁目,190,74,84,32,38,3,152,508,148,291,69,170,7,152
麦野,２丁目,277,85,143,49,18,3,107,814,170,519,125,69,8,107
麦野,３丁目,215,55,130,30,21,4,174,696,110,501,85,95,10,174
麦野,４丁目,364,124,162,78,34,11,533,1023,248,588,187,125,27,533
麦野,５丁目,397,133,176,88,44,9,349,1101,266,626,209,170,23,349
麦野,６丁目,231,82,98,51,37,10,499,623,164,343,116,130,20,499
井相田,１丁目,48,8,33,7,0,1,40,162,16,128,18,0,2,40
井相田,２丁目,109,22,78,9,5,2,71,356,44,287,25,20,4,71
井相田,３丁目,276,106,147,23,29,12,248,800,212,529,59,118,28,248
三筑,１丁目,276,63,179,34,19,5,165,888,126,677,85,74,11,165
三筑,２丁目,434,118,234,82,37,9,424,1323,236,872,215,145,22,424
相生町,１丁目,160,46,89,25,4,1,33,473,92,321,60,16,2,33
相生町,２丁目,103,39,51,13,10,3,224,288,78,182,28,40,6,224
相生町,３丁目,193,59,87,47,16,8,201,542,118,308,116,49,21,201
銀天町,１丁目,71,20,37,14,4,0,57,203,40,128,35,17,0,57
銀天町,２丁目,45,19,19,7,2,2,116,123,38,68,17,5,4,116
銀天町,３丁目,41,17,15,9,5,4,167,102,34,50,18,13,8,167
寿町,１丁目,36,18,17,1,0,0,5,97,36,59,2,0,0,5
寿町,２丁目,159,71,65,23,12,7,411,421,142,228,51,42,15,411
寿町,３丁目,171,58,82,31,11,4,249,477,116,290,71,35,8,249
昭南町,１丁目,80,27,37,16,5,2,173,224,54,132,38,25,4,173
昭南町,２丁目,33,12,15,6,3,1,95,90,24,53,13,7,2,95
昭南町,３丁目,52,25,15,12,11,2,108,130,50,55,25,42,4,108
新和町,１丁目,138,39,59,40,18,0,103,396,78,220,98,59,0,103
新和町,２丁目,157,44,88,25,17,3,184,467,88,322,57,75,6,184
西春町,１丁目,129,35,57,37,19,0,193,372,70,217,85,66,0,193
西春町,２丁目,22,10,9,3,4,1,80,58,20,31,7,16,2,80
西春町,３丁目,104,37,50,17,9,1,124,279,74,170,35,33,2,124
西春町,４丁目,62,15,29,18,6,3,39,173,30,103,40,20,9,39
春町,１丁目,59,19,22,18,6,2,194,155,38,75,42,21,7,194
春町,２丁目,149,49,68,32,9,5,174,423,98,249,76,34,10,174
春町,３丁目,90,39,36,15,7,4,134,238,78,124,36,26,8,134
東雲町,１丁目,13,8,3,2,1,1,101,32,16,12,4,3,2,101
東雲町,２丁目,124,33,65,26,6,4,132,355,66,226,63,21,8,132
東雲町,３丁目,75,26,39,10,10,0,81,213,52,136,25,33,0,81
東雲町,４丁目,36,13,17,6,5,0,99,101,26,59,16,17,0,99
光丘町,１丁目,155,43,72,40,10,0,190,447,86,265,96,35,0,190
光丘町,２丁目,71,17,46,8,6,0,82,227,34,175,18,25,0,82
光丘町,３丁目,66,19,36,11,5,2,64,193,38,129,26,20,4,64
南本町,１丁目,38,19,11,8,6,2,91,97,38,41,18,25,4,91
南本町,２丁目,84,33,28,23,11,3,119,216,66,102,48,43,7,119
南八幡町,１丁目,138,39,77,22,11,3,220,419,78,284,57,38,9,220
南八幡町,２丁目,269,57,171,41,16,5,228,838,114,628,96,65,11,228
竹丘町,１丁目,72,30,31,11,11,2,97,199,60,112,27,38,4,97
竹丘町,２丁目,89,25,42,22,8,2,216,258,50,158,50,27,5,216
竹丘町,３丁目,34,21,5,8,4,1,75,75,42,17,16,10,2,75
元町,１丁目,72,28,30,14,8,1,132,193,56,107,30,25,2,132
元町,２丁目,419,152,208,59,31,3,368,1192,304,750,138,106,9,368
元町,３丁目,85,6,76,3,0,0,4,303,12,284,7,0,0,4
青木,１丁目,414,127,234,53,33,3,230,1248,254,861,133,130,12,230
青木,２丁目,5,2,2,1,1,0,0,15,4,7,4,6,0,0
空港前,１丁目,2,1,1,0,1,0,15,6,2,4,0,7,0,15
空港前,２丁目,157,49,84,24,30,4,271,451,98,297,56,120,8,271
空港前,３丁目,149,46,74,29,37,8,384,426,92,261,73,163,17,384
空港前,４丁目,28,7,19,2,16,1,49,83,14,63,6,75,5,49
空港前,５丁目,86,29,44,13,16,1,34,257,58,168,31,69,2,34
東平尾,１丁目,201,68,113,20,11,5,160,591,136,408,47,46,11,160
東平尾,２丁目,202,75,106,21,21,8,104,580,150,381,49,84,21,104
東平尾,３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東平尾公園,１丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東平尾公園,２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0
月隈,１丁目,59,18,34,7,8,1,18,182,36,128,18,35,3,18
月隈,２丁目,176,41,107,28,21,2,55,552,82,400,70,93,4,55
月隈,３丁目,73,18,40,15,6,0,41,225,36,153,36,29,-,41
月隈,４丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0
月隈,５丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0
月隈,６丁目,113,34,62,17,13,4,114,337,68,221,48,62,9,114
立花寺,,92,36,47,9,16,2,96,267,72,168,27,71,4,96
金の隈,１丁目,373,132,192,49,41,6,235,1116,264,733,119,176,12,235
金の隈,２丁目,178,52,96,30,16,3,110,532,104,353,75,74,8,110
金の隈,３丁目,256,91,136,29,28,4,328,743,182,495,66,118,10,328
博多港,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
