Town,BuildingType,TotalHouseholds,TotalPopulation
吉塚３丁目,その他,2,5
吉塚４丁目,一戸建,195,491
吉塚４丁目,長屋建,7,11
吉塚４丁目,共同住宅,1186,2340
吉塚４丁目,その他,5,9
吉塚５丁目,一戸建,80,192
吉塚５丁目,長屋建,8,13
吉塚５丁目,共同住宅,803,1613
吉塚５丁目,その他,1,1
吉塚６丁目,一戸建,75,191
吉塚６丁目,長屋建,8,16
吉塚６丁目,共同住宅,1480,2447
吉塚６丁目,その他,3,9
吉塚７丁目,一戸建,54,124
吉塚７丁目,長屋建,1,2
吉塚７丁目,共同住宅,1029,1817
吉塚７丁目,その他,0,0
吉塚８丁目,一戸建,37,98
吉塚８丁目,長屋建,1,1
吉塚８丁目,共同住宅,235,389
吉塚８丁目,その他,0,0
豊１丁目,一戸建,23,57
豊１丁目,長屋建,14,21
豊１丁目,共同住宅,685,976
豊１丁目,その他,1,3
豊２丁目,一戸建,7,23
豊２丁目,長屋建,0,0
豊２丁目,共同住宅,421,633
豊２丁目,その他,2,2
榎田１丁目,一戸建,4,10
榎田１丁目,長屋建,0,0
榎田１丁目,共同住宅,565,857
榎田１丁目,その他,0,0
榎田２丁目,一戸建,3,10
榎田２丁目,長屋建,0,0
榎田２丁目,共同住宅,27,32
榎田２丁目,その他,0,0
堅粕１丁目,一戸建,1,6
堅粕１丁目,長屋建,0,0
堅粕１丁目,共同住宅,639,1050
堅粕１丁目,その他,1,1
堅粕２丁目,一戸建,3,8
堅粕２丁目,長屋建,0,0
堅粕２丁目,共同住宅,616,979
堅粕２丁目,その他,0,0
堅粕３丁目,一戸建,39,97
堅粕３丁目,長屋建,0,0
堅粕３丁目,共同住宅,873,1238
堅粕３丁目,その他,0,0
堅粕４丁目,一戸建,221,495
堅粕４丁目,長屋建,32,47
堅粕４丁目,共同住宅,781,908
堅粕４丁目,その他,3,3
堅粕５丁目,一戸建,20,44
堅粕５丁目,長屋建,0,0
堅粕５丁目,共同住宅,407,474
堅粕５丁目,その他,3,3
東光１丁目,一戸建,2,4
東光１丁目,長屋建,0,0
東光１丁目,共同住宅,165,179
東光１丁目,その他,1,2
東光２丁目,一戸建,42,98
東光２丁目,長屋建,1,4
東光２丁目,共同住宅,515,836
東光２丁目,その他,3,8
東比恵１丁目,一戸建,8,16
東比恵１丁目,長屋建,1,1
東比恵１丁目,共同住宅,138,168
東比恵１丁目,その他,1,1
東比恵２丁目,一戸建,24,66
東比恵２丁目,長屋建,3,4
東比恵２丁目,共同住宅,681,844
東比恵２丁目,その他,2,6
東比恵３丁目,一戸建,33,89
東比恵３丁目,長屋建,1,1
東比恵３丁目,共同住宅,1065,1660
東比恵３丁目,その他,1,2
東比恵４丁目,一戸建,17,44
東比恵４丁目,長屋建,0,0
東比恵４丁目,共同住宅,470,777
東比恵４丁目,その他,1,3
上牟田１丁目,一戸建,61,158
上牟田１丁目,長屋建,4,6
上牟田１丁目,共同住宅,497,792
上牟田１丁目,その他,0,0
上牟田２丁目,一戸建,19,51
上牟田２丁目,長屋建,5,10
上牟田２丁目,共同住宅,40,67
上牟田２丁目,その他,0,0
上牟田３丁目,一戸建,22,61
上牟田３丁目,長屋建,0,0
上牟田３丁目,共同住宅,306,587
上牟田３丁目,その他,2,4
大井１丁目,一戸建,8,18
大井１丁目,長屋建,3,5
大井１丁目,共同住宅,0,0
大井１丁目,その他,0,0
大井２丁目,一戸建,30,84
大井２丁目,長屋建,1,1
大井２丁目,共同住宅,115,200
大井２丁目,その他,0,0
大字下臼井,一戸建,0,0
大字下臼井,長屋建,0,0
大字下臼井,共同住宅,0,0
大字下臼井,その他,0,0
大字下月隈,一戸建,0,0
大字下月隈,長屋建,0,0
大字下月隈,共同住宅,0,0
大字下月隈,その他,0,0
大字立花寺,一戸建,60,199
大字立花寺,長屋建,0,0
大字立花寺,共同住宅,0,0
大字立花寺,その他,0,0
大字金隈,一戸建,0,0
大字金隈,長屋建,0,0
大字金隈,共同住宅,0,0
大字金隈,その他,0,0
西月隈１丁目,一戸建,51,106
西月隈１丁目,長屋建,1,1
西月隈１丁目,共同住宅,95,143
西月隈１丁目,その他,0,0
西月隈３丁目,一戸建,72,178
