Town,OwnershipType,TotalHouseholds,TotalPopulation
榎田１丁目,公営・都市再生機構・公社の借家,0,0
榎田１丁目,民営の借家,416,535
榎田１丁目,給与住宅,148,320
榎田１丁目,間借り,1,1
榎田２丁目,持ち家,3,10
榎田２丁目,公営・都市再生機構・公社の借家,0,0
榎田２丁目,民営の借家,18,20
榎田２丁目,給与住宅,9,12
榎田２丁目,間借り,0,0
堅粕１丁目,持ち家,2,7
堅粕１丁目,公営・都市再生機構・公社の借家,485,893
堅粕１丁目,民営の借家,153,156
堅粕１丁目,給与住宅,1,1
堅粕１丁目,間借り,3,3
堅粕２丁目,持ち家,4,12
堅粕２丁目,公営・都市再生機構・公社の借家,377,729
堅粕２丁目,民営の借家,233,237
堅粕２丁目,給与住宅,5,9
堅粕２丁目,間借り,2,2
堅粕３丁目,持ち家,59,140
堅粕３丁目,公営・都市再生機構・公社の借家,322,554
堅粕３丁目,民営の借家,524,631
堅粕３丁目,給与住宅,7,10
堅粕３丁目,間借り,5,7
堅粕４丁目,持ち家,214,482
堅粕４丁目,公営・都市再生機構・公社の借家,22,28
堅粕４丁目,民営の借家,768,904
堅粕４丁目,給与住宅,33,39
堅粕４丁目,間借り,27,40
堅粕５丁目,持ち家,25,64
堅粕５丁目,公営・都市再生機構・公社の借家,0,0
堅粕５丁目,民営の借家,390,437
堅粕５丁目,給与住宅,15,20
堅粕５丁目,間借り,5,6
東光１丁目,持ち家,5,9
東光１丁目,公営・都市再生機構・公社の借家,0,0
東光１丁目,民営の借家,158,171
東光１丁目,給与住宅,6,7
東光１丁目,間借り,0,0
東光２丁目,持ち家,195,411
東光２丁目,公営・都市再生機構・公社の借家,0,0
東光２丁目,民営の借家,346,496
東光２丁目,給与住宅,20,39
東光２丁目,間借り,8,12
東比恵１丁目,持ち家,16,29
東比恵１丁目,公営・都市再生機構・公社の借家,0,0
東比恵１丁目,民営の借家,125,149
東比恵１丁目,給与住宅,7,8
東比恵１丁目,間借り,1,1
東比恵２丁目,持ち家,48,101
東比恵２丁目,公営・都市再生機構・公社の借家,0,0
東比恵２丁目,民営の借家,517,581
東比恵２丁目,給与住宅,145,238
東比恵２丁目,間借り,10,16
東比恵３丁目,持ち家,157,345
東比恵３丁目,公営・都市再生機構・公社の借家,350,647
東比恵３丁目,民営の借家,524,679
東比恵３丁目,給与住宅,71,85
東比恵３丁目,間借り,2,5
