Town,FamilyType,TotalHouseholds,total_pop,NonResSum,NonResSumPopulation,IsSingleOnly,NonResHouseholds_Init,NonResHouseholds_Adjusted,NonResHouseholds,Discrepancy
井相田２丁目,その他の核家族世帯,9,25,0,0,True,0.0,-0.0,0.0,0.0
井相田２丁目,核家族以外の世帯,5,20,0,0,True,0.0,-0.0,0.0,0.0
井相田２丁目,非親族を含む世帯,2,4,0,0,True,0.0,-0.0,0.0,0.0
井相田２丁目,単独世帯,71,71,0,0,True,0.0,0.0,0.0,0.0
井相田３丁目,夫婦のみの世帯,106,212,0,0,True,0.0,-0.0,0.0,0.0
井相田３丁目,夫婦と子供から成る世帯,147,529,0,0,True,0.0,-0.0,0.0,0.0
井相田３丁目,その他の核家族世帯,23,59,0,0,True,0.0,-0.0,0.0,0.0
井相田３丁目,核家族以外の世帯,29,118,0,0,True,0.0,-0.0,0.0,0.0
井相田３丁目,非親族を含む世帯,12,28,0,0,True,0.0,-0.0,0.0,0.0
井相田３丁目,単独世帯,248,248,0,0,True,0.0,0.0,0.0,0.0
住吉１丁目,夫婦のみの世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
住吉１丁目,夫婦と子供から成る世帯,1,3,0,0,True,0.0,-0.0,0.0,0.0
住吉１丁目,その他の核家族世帯,3,9,0,0,True,0.0,-0.0,0.0,0.0
住吉１丁目,核家族以外の世帯,3,11,0,0,True,0.0,-0.0,0.0,0.0
住吉１丁目,非親族を含む世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
住吉１丁目,単独世帯,25,25,0,0,True,0.0,0.0,0.0,0.0
住吉２丁目,夫婦のみの世帯,87,174,4,4,True,0.0,-0.0,0.4832356298632723,0.0
住吉２丁目,夫婦と子供から成る世帯,61,197,4,4,True,0.0,-0.0,0.4832356298632723,0.0
住吉２丁目,その他の核家族世帯,51,116,4,4,True,0.0,-0.0,0.4832356298632723,0.0
住吉２丁目,核家族以外の世帯,31,103,4,4,True,0.0,-0.0,0.4832356298632723,0.0
住吉２丁目,非親族を含む世帯,31,64,4,4,True,0.0,-0.0,0.4832356298632723,0.0
住吉２丁目,単独世帯,1481,1481,4,4,True,4.0,0.4832356298632719,4.966471259726545,0.0
住吉３丁目,夫婦のみの世帯,78,156,7,7,True,0.0,-0.0,0.8456623522607263,0.0
住吉３丁目,夫婦と子供から成る世帯,43,149,7,7,True,0.0,-0.0,0.8456623522607263,0.0
住吉３丁目,その他の核家族世帯,38,83,7,7,True,0.0,-0.0,0.8456623522607263,0.0
住吉３丁目,核家族以外の世帯,31,82,7,7,True,0.0,-0.0,0.8456623522607263,0.0
住吉３丁目,非親族を含む世帯,25,50,7,7,True,0.0,-0.0,0.8456623522607263,0.0
住吉３丁目,単独世帯,1241,1241,7,7,True,7.0,0.845662352260726,8.691324704521453,0.0
住吉４丁目,夫婦のみの世帯,126,252,2,2,True,0.0,-0.0,0.24161781493163614,0.0
住吉４丁目,夫婦と子供から成る世帯,92,315,2,2,True,0.0,-0.0,0.24161781493163614,0.0
住吉４丁目,その他の核家族世帯,69,156,2,2,True,0.0,-0.0,0.24161781493163614,0.0
