Town,AreaRange,TotalHouseholds,TotalPopulation
大博町,70～99㎡,94,180
大博町,100～149㎡,42,113
大博町,150㎡以上,16,41
御供所町,0～29㎡,318,348
御供所町,30～49㎡,100,126
御供所町,50～69㎡,160,272
御供所町,70～99㎡,60,113
御供所町,100～149㎡,29,79
御供所町,150㎡以上,21,55
千代１丁目,0～29㎡,703,755
千代１丁目,30～49㎡,468,580
千代１丁目,50～69㎡,477,812
千代１丁目,70～99㎡,299,610
千代１丁目,100～149㎡,69,165
千代１丁目,150㎡以上,43,116
千代２丁目,0～29㎡,546,568
千代２丁目,30～49㎡,241,292
千代２丁目,50～69㎡,185,287
千代２丁目,70～99㎡,73,118
千代２丁目,100～149㎡,20,39
千代２丁目,150㎡以上,10,29
千代３丁目,0～29㎡,276,288
千代３丁目,30～49㎡,208,284
千代３丁目,50～69㎡,793,1306
千代３丁目,70～99㎡,149,261
千代３丁目,100～149㎡,8,19
千代３丁目,150㎡以上,18,51
千代４丁目,0～29㎡,800,834
千代４丁目,30～49㎡,366,410
千代４丁目,50～69㎡,182,227
千代４丁目,70～99㎡,112,170
千代４丁目,100～149㎡,57,108
千代４丁目,150㎡以上,35,92
千代５丁目,0～29㎡,139,142
千代５丁目,30～49㎡,124,144
千代５丁目,50～69㎡,630,1083
千代５丁目,70～99㎡,87,191
千代５丁目,100～149㎡,8,12
千代５丁目,150㎡以上,5,18
千代６丁目,0～29㎡,270,273
千代６丁目,30～49㎡,107,122
千代６丁目,50～69㎡,159,251
千代６丁目,70～99㎡,29,39
千代６丁目,100～149㎡,1,1
千代６丁目,150㎡以上,1,4
東公園,0～29㎡,134,138
東公園,30～49㎡,33,34
東公園,50～69㎡,20,26
東公園,70～99㎡,16,26
東公園,100～149㎡,19,49
東公園,150㎡以上,12,29
吉塚本町,0～29㎡,192,215
吉塚本町,30～49㎡,185,234
吉塚本町,50～69㎡,152,278
吉塚本町,70～99㎡,185,425
吉塚本町,100～149㎡,38,100
吉塚本町,150㎡以上,12,43
吉塚１丁目,0～29㎡,601,664
吉塚１丁目,30～49㎡,379,562
吉塚１丁目,50～69㎡,325,588
吉塚１丁目,70～99㎡,198,407
吉塚１丁目,100～149㎡,120,317
吉塚１丁目,150㎡以上,63,176
吉塚２丁目,0～29㎡,359,399
吉塚２丁目,30～49㎡,274,383
吉塚２丁目,50～69㎡,196,371
吉塚２丁目,70～99㎡,233,582
吉塚２丁目,100～149㎡,104,279
吉塚２丁目,150㎡以上,45,127
吉塚３丁目,0～29㎡,330,398
吉塚３丁目,30～49㎡,266,417
吉塚３丁目,50～69㎡,166,340
吉塚３丁目,70～99㎡,114,247
吉塚３丁目,100～149㎡,70,191
吉塚３丁目,150㎡以上,49,125
吉塚４丁目,0～29㎡,254,309
吉塚４丁目,30～49㎡,269,461
吉塚４丁目,50～69㎡,500,1139
吉塚４丁目,70～99㎡,293,708
吉塚４丁目,100～149㎡,66,191
吉塚４丁目,150㎡以上,27,75
吉塚５丁目,0～29㎡,230,265
吉塚５丁目,30～49㎡,133,234
吉塚５丁目,50～69㎡,200,458
吉塚５丁目,70～99㎡,293,748
吉塚５丁目,100～149㎡,31,83
吉塚５丁目,150㎡以上,15,47
吉塚６丁目,0～29㎡,482,584
吉塚６丁目,30～49㎡,483,662
吉塚６丁目,50～69㎡,308,610
吉塚６丁目,70～99㎡,263,696
吉塚６丁目,100～149㎡,38,106
吉塚６丁目,150㎡以上,11,29
吉塚７丁目,0～29㎡,205,240
吉塚７丁目,30～49㎡,367,618
吉塚７丁目,50～69㎡,328,645
吉塚７丁目,70～99㎡,154,371
吉塚７丁目,100～149㎡,24,56
吉塚７丁目,150㎡以上,10,25
吉塚８丁目,0～29㎡,71,75
吉塚８丁目,30～49㎡,127,257
吉塚８丁目,50～69㎡,36,64
吉塚８丁目,70～99㎡,24,41
吉塚８丁目,100～149㎡,16,46
吉塚８丁目,150㎡以上,5,17
豊１丁目,0～29㎡,216,230
豊１丁目,30～49㎡,255,324
豊１丁目,50～69㎡,130,233
豊１丁目,70～99㎡,117,260
豊１丁目,100～149㎡,5,10
豊１丁目,150㎡以上,2,6
豊２丁目,0～29㎡,122,133
豊２丁目,30～49㎡,156,229
豊２丁目,50～69㎡,63,98
豊２丁目,70～99㎡,79,171
豊２丁目,100～149㎡,8,18
豊２丁目,150㎡以上,5,15
榎田１丁目,0～29㎡,174,190
榎田１丁目,30～49㎡,242,364
榎田１丁目,50～69㎡,114,233
榎田１丁目,70～99㎡,34,64
榎田１丁目,100～149㎡,4,10
榎田１丁目,150㎡以上,2,7
榎田２丁目,0～29㎡,11,12
榎田２丁目,30～49㎡,11,15
榎田２丁目,50～69㎡,4,4
榎田２丁目,70～99㎡,3,7
榎田２丁目,100～149㎡,1,4
榎田２丁目,150㎡以上,0,0
堅粕１丁目,0～29㎡,101,104
堅粕１丁目,30～49㎡,130,199
堅粕１丁目,50～69㎡,369,688
堅粕１丁目,70～99㎡,40,55
堅粕１丁目,100～149㎡,3,8
堅粕１丁目,150㎡以上,1,6
堅粕２丁目,0～29㎡,152,157
堅粕２丁目,30～49㎡,167,277
堅粕２丁目,50～69㎡,261,465
堅粕２丁目,70～99㎡,37,77
堅粕２丁目,100～149㎡,4,13
堅粕２丁目,150㎡以上,0,0
堅粕３丁目,0～29㎡,268,298
堅粕３丁目,30～49㎡,289,431
堅粕３丁目,50～69㎡,250,383
堅粕３丁目,70～99㎡,91,178
堅粕３丁目,100～149㎡,13,34
堅粕３丁目,150㎡以上,6,18
堅粕４丁目,0～29㎡,478,515
堅粕４丁目,30～49㎡,212,253
堅粕４丁目,50～69㎡,153,242
堅粕４丁目,70～99㎡,112,213
堅粕４丁目,100～149㎡,58,136
堅粕４丁目,150㎡以上,51,134
堅粕５丁目,0～29㎡,182,193
堅粕５丁目,30～49㎡,148,176
堅粕５丁目,50～69㎡,62,86
堅粕５丁目,70～99㎡,29,39
堅粕５丁目,100～149㎡,11,25
堅粕５丁目,150㎡以上,3,8
東光１丁目,0～29㎡,83,87
東光１丁目,30～49㎡,45,51
東光１丁目,50～69㎡,26,29
東光１丁目,70～99㎡,11,13
東光１丁目,100～149㎡,3,5
東光１丁目,150㎡以上,0,0
東光２丁目,0～29㎡,139,156
東光２丁目,30～49㎡,152,215
東光２丁目,50～69㎡,136,263
東光２丁目,70～99㎡,116,265
東光２丁目,100～149㎡,18,41
東光２丁目,150㎡以上,8,18
東比恵１丁目,0～29㎡,73,75
東比恵１丁目,30～49㎡,36,43
