Town,NonResSumHouseholds,NonResSumPopulation,FamilyType,NonResHouseholds,NonResPopulation
堅粕５丁目,5,5,その他の核家族世帯,0,0
堅粕５丁目,5,5,単独世帯,5,5
堅粕５丁目,5,5,夫婦と子供から成る世帯,0,0
堅粕５丁目,5,5,夫婦のみの世帯,0,0
堅粕５丁目,5,5,核家族以外の世帯,0,0
堅粕５丁目,5,5,非親族を含む世帯,0,0
東光１丁目,1,1,その他の核家族世帯,0,0
東光１丁目,1,1,単独世帯,1,1
東光１丁目,1,1,夫婦と子供から成る世帯,0,0
東光１丁目,1,1,夫婦のみの世帯,0,0
東光１丁目,1,1,核家族以外の世帯,0,0
東光１丁目,1,1,非親族を含む世帯,0,0
東比恵１丁目,1,1,その他の核家族世帯,0,0
東比恵１丁目,1,1,単独世帯,1,1
東比恵１丁目,1,1,夫婦と子供から成る世帯,0,0
東比恵１丁目,1,1,夫婦のみの世帯,0,0
東比恵１丁目,1,1,核家族以外の世帯,0,0
東比恵１丁目,1,1,非親族を含む世帯,0,0
東比恵３丁目,98,98,その他の核家族世帯,0,0
東比恵３丁目,98,98,単独世帯,98,98
東比恵３丁目,98,98,夫婦と子供から成る世帯,0,0
東比恵３丁目,98,98,夫婦のみの世帯,0,0
東比恵３丁目,98,98,核家族以外の世帯,0,0
東比恵３丁目,98,98,非親族を含む世帯,0,0
上牟田１丁目,0,0,その他の核家族世帯,0,0
上牟田１丁目,0,0,単独世帯,0,0
上牟田１丁目,0,0,夫婦と子供から成る世帯,0,0
上牟田１丁目,0,0,夫婦のみの世帯,0,0
上牟田１丁目,0,0,核家族以外の世帯,0,0
上牟田１丁目,0,0,非親族を含む世帯,0,0
上牟田２丁目,1,1,その他の核家族世帯,0,0
上牟田２丁目,1,1,単独世帯,1,1
上牟田２丁目,1,1,夫婦と子供から成る世帯,0,0
上牟田２丁目,1,1,夫婦のみの世帯,0,0
上牟田２丁目,1,1,核家族以外の世帯,0,0
上牟田２丁目,1,1,非親族を含む世帯,0,0
上牟田３丁目,0,0,その他の核家族世帯,0,0
上牟田３丁目,0,0,単独世帯,0,0
上牟田３丁目,0,0,夫婦と子供から成る世帯,0,0
上牟田３丁目,0,0,夫婦のみの世帯,0,0
上牟田３丁目,0,0,核家族以外の世帯,0,0
上牟田３丁目,0,0,非親族を含む世帯,0,0
大井１丁目,0,0,その他の核家族世帯,0,0
大井１丁目,0,0,単独世帯,0,0
大井１丁目,0,0,夫婦と子供から成る世帯,0,0
大井１丁目,0,0,夫婦のみの世帯,0,0
大井１丁目,0,0,核家族以外の世帯,0,0
大井１丁目,0,0,非親族を含む世帯,0,0
大井２丁目,11,11,その他の核家族世帯,0,0
大井２丁目,11,11,単独世帯,11,11
大井２丁目,11,11,夫婦と子供から成る世帯,0,0
大井２丁目,11,11,夫婦のみの世帯,0,0
大井２丁目,11,11,核家族以外の世帯,0,0
大井２丁目,11,11,非親族を含む世帯,0,0
大字下臼井,0,0,その他の核家族世帯,0,0
大字下臼井,0,0,単独世帯,0,0
大字下臼井,0,0,夫婦と子供から成る世帯,0,0
大字下臼井,0,0,夫婦のみの世帯,0,0
大字下臼井,0,0,核家族以外の世帯,0,0
大字下臼井,0,0,非親族を含む世帯,0,0
大字下月隈,0,0,その他の核家族世帯,0,0
大字下月隈,0,0,単独世帯,0,0
大字下月隈,0,0,夫婦と子供から成る世帯,0,0
大字下月隈,0,0,夫婦のみの世帯,0,0
大字下月隈,0,0,核家族以外の世帯,0,0
大字下月隈,0,0,非親族を含む世帯,0,0
大字立花寺,0,0,その他の核家族世帯,0,0
大字立花寺,0,0,単独世帯,0,0
大字立花寺,0,0,夫婦と子供から成る世帯,0,0
大字立花寺,0,0,夫婦のみの世帯,0,0
大字立花寺,0,0,核家族以外の世帯,0,0
大字立花寺,0,0,非親族を含む世帯,0,0
大字金隈,0,0,その他の核家族世帯,0,0
大字金隈,0,0,単独世帯,0,0
大字金隈,0,0,夫婦と子供から成る世帯,0,0
大字金隈,0,0,夫婦のみの世帯,0,0
大字金隈,0,0,核家族以外の世帯,0,0
大字金隈,0,0,非親族を含む世帯,0,0
西月隈４丁目,13,13,その他の核家族世帯,0,0
西月隈４丁目,13,13,単独世帯,13,13
西月隈４丁目,13,13,夫婦と子供から成る世帯,0,0
西月隈４丁目,13,13,夫婦のみの世帯,0,0
西月隈４丁目,13,13,核家族以外の世帯,0,0
西月隈４丁目,13,13,非親族を含む世帯,0,0
西月隈５丁目,0,0,その他の核家族世帯,0,0
西月隈５丁目,0,0,単独世帯,0,0
西月隈５丁目,0,0,夫婦と子供から成る世帯,0,0
西月隈５丁目,0,0,夫婦のみの世帯,0,0
西月隈５丁目,0,0,核家族以外の世帯,0,0
西月隈５丁目,0,0,非親族を含む世帯,0,0
西月隈６丁目,9,9,その他の核家族世帯,0,0
西月隈６丁目,9,9,単独世帯,9,9
西月隈６丁目,9,9,夫婦と子供から成る世帯,0,0
西月隈６丁目,9,9,夫婦のみの世帯,0,0
西月隈６丁目,9,9,核家族以外の世帯,0,0
西月隈６丁目,9,9,非親族を含む世帯,0,0
東月隈１丁目,0,0,その他の核家族世帯,0,0
東月隈１丁目,0,0,単独世帯,0,0
東月隈１丁目,0,0,夫婦と子供から成る世帯,0,0
東月隈１丁目,0,0,夫婦のみの世帯,0,0
東月隈１丁目,0,0,核家族以外の世帯,0,0
東月隈１丁目,0,0,非親族を含む世帯,0,0
東月隈２丁目,0,0,その他の核家族世帯,0,0
東月隈２丁目,0,0,単独世帯,0,0
東月隈２丁目,0,0,夫婦と子供から成る世帯,0,0
東月隈２丁目,0,0,夫婦のみの世帯,0,0
東月隈２丁目,0,0,核家族以外の世帯,0,0
東月隈２丁目,0,0,非親族を含む世帯,0,0
東月隈３丁目,1,1,その他の核家族世帯,0,0
東月隈３丁目,1,1,単独世帯,1,1
東月隈３丁目,1,1,夫婦と子供から成る世帯,0,0
東月隈３丁目,1,1,夫婦のみの世帯,0,0
東月隈３丁目,1,1,核家族以外の世帯,0,0
東月隈３丁目,1,1,非親族を含む世帯,0,0
東月隈４丁目,0,0,その他の核家族世帯,0,0
東月隈４丁目,0,0,単独世帯,0,0
東月隈４丁目,0,0,夫婦と子供から成る世帯,0,0
東月隈４丁目,0,0,夫婦のみの世帯,0,0
東月隈４丁目,0,0,核家族以外の世帯,0,0
東月隈４丁目,0,0,非親族を含む世帯,0,0
東月隈５丁目,6,6,その他の核家族世帯,0,0
東月隈５丁目,6,6,単独世帯,6,6
東月隈５丁目,6,6,夫婦と子供から成る世帯,0,0
東月隈５丁目,6,6,夫婦のみの世帯,0,0
東月隈５丁目,6,6,核家族以外の世帯,0,0
東月隈５丁目,6,6,非親族を含む世帯,0,0
浦田２丁目,10,10,その他の核家族世帯,0,0
浦田２丁目,10,10,単独世帯,10,10
浦田２丁目,10,10,夫婦と子供から成る世帯,0,0
浦田２丁目,10,10,夫婦のみの世帯,0,0
浦田２丁目,10,10,核家族以外の世帯,0,0
浦田２丁目,10,10,非親族を含む世帯,0,0
東那珂１丁目,0,0,その他の核家族世帯,0,0
東那珂１丁目,0,0,単独世帯,0,0
東那珂１丁目,0,0,夫婦と子供から成る世帯,0,0
東那珂１丁目,0,0,夫婦のみの世帯,0,0
東那珂１丁目,0,0,核家族以外の世帯,0,0
東那珂１丁目,0,0,非親族を含む世帯,0,0
東那珂２丁目,39,39,その他の核家族世帯,0,0
東那珂２丁目,39,39,単独世帯,39,39
東那珂２丁目,39,39,夫婦と子供から成る世帯,0,0
東那珂２丁目,39,39,夫婦のみの世帯,0,0
東那珂２丁目,39,39,核家族以外の世帯,0,0
東那珂２丁目,39,39,非親族を含む世帯,0,0
東那珂３丁目,23,23,その他の核家族世帯,0,0
東那珂３丁目,23,23,単独世帯,23,23
東那珂３丁目,23,23,夫婦と子供から成る世帯,0,0
東那珂３丁目,23,23,夫婦のみの世帯,0,0
東那珂３丁目,23,23,核家族以外の世帯,0,0
東那珂３丁目,23,23,非親族を含む世帯,0,0
半道橋１丁目,37,37,その他の核家族世帯,0,0
半道橋１丁目,37,37,単独世帯,37,37
半道橋１丁目,37,37,夫婦と子供から成る世帯,0,0
半道橋１丁目,37,37,夫婦のみの世帯,0,0
半道橋１丁目,37,37,核家族以外の世帯,0,0
半道橋１丁目,37,37,非親族を含む世帯,0,0
半道橋２丁目,0,0,その他の核家族世帯,0,0
半道橋２丁目,0,0,単独世帯,0,0
半道橋２丁目,0,0,夫婦と子供から成る世帯,0,0
半道橋２丁目,0,0,夫婦のみの世帯,0,0
半道橋２丁目,0,0,核家族以外の世帯,0,0
半道橋２丁目,0,0,非親族を含む世帯,0,0
竹下１丁目,5,5,その他の核家族世帯,0,0
竹下１丁目,5,5,単独世帯,5,5
竹下１丁目,5,5,夫婦と子供から成る世帯,0,0
